replay;winner;
SNSD)YoonaZ_release21P_3kus7.rep;1;
[s8e9x2]P_noparkT_mw1zn.rep;0;
noparkT_BBU.UP_7nlxe.rep;0;
gooogZ_misfortP_tqo1v.rep;1;
misfortT_rurkisP_3ku3w.rep;1;
bttfT_misfortZ_b380m.rep;0;
franky2000T_djscanZ_hg4af.rep;1;
noparkT_NorukingP_xdevd.rep;0;
blindcrT_misfortP_wdehr.rep;0;
Cutepuke1P_sGs.PassafP_ctbu8.rep;0;
crazydontP_SUSHIKARAT_2kus7.rep;0;
noparkT_GhoeastP_gg4mt.rep;1;
philrdy2kiP_heyhi66P_wde63.rep;0;
centauroP_djscanZ_4kueh.rep;1;
SumboyZ_djscanZ_etbgi.rep;1;
djscanZ_flashinfinT_1x1lk.rep;0;
djscanZ_DoubleDateZ_r0iij.rep;1;
Blue_MarinP_noparkT_z38bo.rep;0;
djscanZ_AshaAOsiT_uqocg.rep;1;
streamtOssP_P_0x1zn.rep;1;
redthixT_BeNiMaP_q0iij.rep;0;
SzikyZ_sas.zarakiZ_btbgi.rep;0;
noparkT_7hehP_i6y42.rep;1;
LRM)trutaCZ_SzikyZ_o0iij.rep;1;
streamtOssP_P_ctb5x.rep;1;
7hehP_noparkT_vde63.rep;0;
noparkT_Dream.t)LoP_sqoq6.rep;1;
missingT_EpidemicP_vdehr.rep;1;
axada21Z_nickyjamP_a380m.rep;1;
sas.zarakiZ_SzikyZ_7arrb.rep;1;
venishT_.DayP_5nl84.rep;0;
rivershoveT_ski94913P_fg4mt.rep;0;
geweyiiZ_C0MPUTERT_i6yfq.rep;1;
Dash.gmT_streamtOssP_lw1zn.rep;0;
C0MPUTERT_geweyiiZ_y38bo.rep;1;
streamtOssP_P_mw1nz.rep;1;
noparkT_cOokie..[gP_2ku3w.rep;0;
mecanP_venishT_fg4o5.rep;1;
ovod_Z_Slipknot01P_5nljs.rep;1;
streamtOssP_P_p0i7y.rep;1;
b.prObeP_ameteu525Z_gg4o5.rep;1;
SzikyZ_LaGFree.DaT_n0iw9.rep;0;
geweyiiP_C0MPUTERT_8ardp.rep;0;
alfZ_nickyjamT_8ar21.rep;1;
byoungsinbP_redthixT_sqo1v.rep;1;
Dash.gmT_streamtOssP_o0iw9.rep;0;
SzikyZ_LRM)trutaCZ_0kus7.rep;0;
noparkT_last..7dayP_p0iw9.rep;0;
BeNiMaP_redthixT_dtbgi.rep;1;
